Orig	Java	Rust
5.663368	0.33	0.102427416
5.675046	0.325	0.101906708
5.68969	0.332	0.102126167
5.711986	0.356	0.10232525
5.701635	0.325	0.102223791
5.71538	0.32	0.102460625
5.712327	0.32	0.102299417
5.718582	0.329	0.102356416
5.715566	0.334	0.102260917
5.679794	0.333	0.10183125
